emprestimo_id,livro_id,cliente_id,data_emprestimo,data_devolucao,status
85,53,67,2020-08-14,2020-08-27,finalizado
86,196,130,2021-05-08,2021-05-12,atrasado
87,160,289,2020-09-06,2020-09-08,atrasado
88,170,54,2022-03-11,2022-04-09,atrasado
89,55,41,2020-02-01,2020-02-28,atrasado
90,185,217,2020-01-10,2020-01-14,finalizado
91,130,49,2021-03-30,,ativo
92,171,132,2023-11-06,2023-11-10,finalizado
93,166,142,2021-09-30,2021-10-22,atrasado
94,20,159,2022-06-09,2022-06-13,atrasado
95,124,211,2022-05-10,2022-05-18,atrasado
96,76,221,2021-01-25,,ativo
97,25,137,2020-01-17,,ativo
98,18,239,2022-06-06,2022-06-17,atrasado
99,163,149,2023-01-24,2023-02-13,finalizado
100,22,5,2021-04-14,2021-04-15,finalizado
101,154,216,2021-05-17,2021-05-23,finalizado
102,190,77,2023-10-09,,ativo
103,122,173,2021-09-17,,ativo
104,68,230,2022-12-07,2022-12-31,finalizado
105,38,174,2023-01-24,,ativo
106,77,96,2023-05-23,2023-06-16,finalizado
107,89,11,2020-04-25,2020-05-11,finalizado
108,128,167,2023-05-03,2023-05-07,atrasado
109,133,164,2022-06-14,2022-06-22,atrasado
110,106,285,2023-12-15,2023-12-17,atrasado
111,85,261,2021-06-30,2021-07-13,finalizado
112,155,147,2022-07-04,2022-07-11,finalizado
113,60,102,2022-11-02,,ativo
114,54,47,2022-12-21,2023-01-16,atrasado
115,139,110,2021-06-14,2021-07-02,atrasado
116,197,118,2023-03-18,2023-03-25,finalizado
117,113,42,2021-04-14,,ativo
118,120,253,2023-11-01,2023-11-29,atrasado
119,21,245,2021-05-07,,ativo
120,75,58,2022-07-29,2022-07-30,atrasado
121,55,223,2022-03-07,,ativo
122,90,150,2023-06-09,,ativo
123,90,193,2023-04-23,2023-05-03,finalizado
124,173,166,2023-01-23,,ativo
125,69,100,2020-05-24,,ativo
126,128,48,2022-08-03,2022-08-25,atrasado
127,94,43,2021-02-15,2021-03-02,finalizado
128,57,300,2022-08-03,2022-08-04,atrasado
129,73,260,2020-01-10,,ativo
130,42,36,2023-04-24,2023-05-04,finalizado
131,175,213,2021-12-02,2021-12-13,atrasado
132,67,124,2022-04-04,2022-04-30,finalizado
133,104,188,2022-08-14,2022-09-07,finalizado
134,88,125,2020-09-28,,ativo
135,80,102,2021-11-29,,ativo
136,88,96,2023-11-05,2023-12-04,finalizado
137,61,55,2020-06-28,2020-06-29,atrasado
138,32,86,2021-04-29,2021-05-05,atrasado
139,99,218,2022-03-02,2022-03-08,atrasado
140,143,129,2021-04-10,2021-05-08,finalizado
141,107,125,2020-01-05,,ativo
142,14,63,2021-07-26,,ativo
143,172,253,2020-03-04,2020-04-01,finalizado
144,174,101,2021-01-21,,ativo
145,76,206,2021-05-23,2021-06-21,atrasado
146,41,222,2023-04-12,,ativo
147,9,267,2021-03-05,,ativo
148,13,93,2023-07-30,2023-08-13,finalizado
149,70,230,2023-02-17,2023-02-23,finalizado
150,198,229,2020-04-30,2020-05-20,atrasado
151,6,141,2022-01-27,,ativo
152,61,186,2021-07-28,2021-08-06,atrasado
153,130,273,2022-05-31,2022-06-28,finalizado
154,67,213,2023-12-09,,ativo
155,61,232,2020-04-27,2020-05-03,finalizado
156,8,245,2022-05-17,2022-05-21,atrasado
157,170,208,2021-07-28,,ativo
158,166,161,2021-04-22,,ativo
159,162,119,2022-09-25,2022-10-02,atrasado
160,127,206,2023-05-10,2023-05-19,atrasado
161,70,182,2023-03-04,,ativo
162,47,175,2023-05-31,2023-06-28,finalizado
163,1,83,2020-07-10,2020-07-27,atrasado
164,26,6,2020-02-27,2020-03-09,finalizado
165,71,273,2020-04-25,2020-04-30,finalizado
166,18,203,2023-06-08,2023-06-28,finalizado
167,129,297,2021-06-12,,ativo
168,19,125,2023-02-16,2023-03-17,finalizado
169,61,123,2020-08-24,2020-09-21,finalizado
170,80,49,2023-03-13,,ativo
171,138,284,2020-03-13,2020-04-12,finalizado
172,26,22,2023-12-21,,ativo
173,29,105,2023-09-04,2023-09-07,atrasado
174,124,43,2022-12-27,,ativo
175,59,34,2022-02-13,2022-03-06,finalizado
176,177,81,2020-06-25,2020-07-13,atrasado
177,83,159,2020-04-15,2020-04-26,atrasado
178,70,219,2022-07-03,2022-07-21,finalizado
179,163,87,2021-05-10,2021-05-19,finalizado
180,46,200,2021-10-07,,ativo
181,74,280,2023-09-15,2023-09-23,finalizado
182,38,190,2021-03-28,2021-04-21,atrasado
183,152,11,2023-07-30,2023-08-06,finalizado
184,24,140,2022-08-20,2022-09-07,finalizado
185,177,124,2021-04-23,,ativo
186,26,298,2020-12-09,2021-01-07,atrasado
187,16,291,2023-12-20,,ativo
188,145,281,2021-08-04,2021-08-08,finalizado
189,46,24,2022-03-21,2022-03-29,atrasado
190,81,166,2020-09-13,,ativo
191,5,192,2023-05-28,2023-06-12,atrasado
192,2,218,2020-09-30,2020-10-14,atrasado
193,127,116,2020-02-16,2020-03-11,atrasado
194,144,282,2022-01-05,2022-01-30,atrasado
195,173,134,2021-09-03,2021-09-22,atrasado
196,45,178,2021-03-03,2021-03-24,atrasado
197,165,4,2023-03-20,2023-03-24,atrasado
198,167,122,2022-06-08,,ativo
199,106,9,2022-04-12,2022-04-16,atrasado
200,186,130,2021-03-02,,ativo
201,12,219,2023-08-14,2023-08-18,atrasado
202,32,133,2022-11-26,2022-12-25,finalizado
203,111,201,2023-11-06,,ativo
204,64,130,2023-07-14,2023-07-20,atrasado
205,147,258,2022-11-17,,ativo
206,72,76,2022-07-12,,ativo
207,150,196,2021-11-14,,ativo
208,23,105,2023-08-07,2023-08-28,atrasado
209,78,211,2023-12-14,2023-12-23,finalizado
210,57,289,2023-10-17,2023-10-24,atrasado
211,136,153,2022-09-24,,ativo
212,73,196,2020-08-13,2020-08-31,atrasado
213,183,266,2020-10-16,2020-10-22,atrasado
214,51,59,2023-05-22,,ativo
215,19,224,2021-03-04,2021-03-08,finalizado
216,172,176,2022-06-22,2022-07-17,atrasado
217,152,140,2021-04-06,2021-04-16,atrasado
218,15,266,2022-06-09,2022-07-02,atrasado
219,139,209,2021-04-09,2021-04-12,finalizado
220,70,17,2023-06-22,,ativo
221,145,160,2020-07-21,,ativo
222,65,276,2021-06-14,2021-07-01,finalizado
223,66,217,2020-10-24,2020-11-03,atrasado
224,134,242,2022-11-11,2022-11-20,atrasado
225,59,81,2021-07-16,2021-08-02,atrasado
226,160,19,2023-05-05,2023-05-10,atrasado
227,112,289,2020-06-14,,ativo
228,63,59,2022-01-11,2022-01-14,atrasado
229,70,135,2023-02-01,2023-02-24,finalizado
230,164,230,2020-07-28,,ativo
231,24,156,2023-05-01,2023-05-23,finalizado
232,183,80,2022-06-07,,ativo
233,29,273,2022-05-21,2022-05-23,atrasado
234,192,106,2022-05-29,,ativo
235,17,255,2023-08-11,2023-09-09,finalizado
236,27,161,2021-08-22,2021-08-31,finalizado
237,48,95,2023-06-03,,ativo
238,123,262,2021-10-18,2021-10-30,atrasado
239,171,297,2021-02-11,2021-02-20,finalizado
240,156,203,2020-04-19,2020-05-17,atrasado
241,54,97,2020-10-01,2020-10-21,atrasado
242,65,107,2020-09-05,2020-09-13,atrasado
243,72,216,2021-01-23,,ativo
244,43,209,2023-06-20,2023-06-29,atrasado
245,79,244,2020-01-28,,ativo
246,163,58,2022-09-23,2022-10-14,finalizado
247,200,293,2021-07-27,2021-08-18,atrasado
248,134,85,2020-04-30,2020-05-20,finalizado
249,19,202,2022-01-29,2022-02-04,finalizado
250,133,187,2021-07-26,2021-08-18,finalizado
251,53,203,2022-10-31,2022-11-29,atrasado
252,69,10,2022-04-24,,ativo
253,33,273,2023-12-30,,ativo
254,43,117,2021-06-16,2021-07-13,atrasado
255,144,120,2022-10-20,2022-10-22,finalizado
256,162,177,2023-12-21,,ativo
257,168,211,2021-12-13,,ativo
258,140,157,2022-10-31,,ativo
259,193,287,2021-05-16,2021-06-03,finalizado
260,67,166,2023-05-06,,ativo
261,32,124,2020-10-18,2020-11-13,atrasado
262,17,247,2023-04-23,2023-05-12,atrasado
263,183,133,2020-11-14,,ativo
264,104,193,2020-08-22,2020-09-01,finalizado
265,49,206,2023-04-12,2023-04-21,atrasado
266,114,225,2021-11-04,2021-11-22,finalizado
267,173,254,2020-12-25,2021-01-14,atrasado
268,81,247,2021-06-05,2021-06-24,finalizado
269,183,211,2022-05-22,2022-06-09,atrasado
270,62,258,2022-11-05,,ativo
271,65,239,2021-06-24,,ativo
272,186,100,2022-06-25,,ativo
273,181,154,2021-09-30,2021-10-15,atrasado
274,117,299,2022-06-09,2022-06-17,finalizado
275,190,164,2022-06-10,2022-06-28,atrasado
276,42,274,2022-05-01,2022-05-26,finalizado
277,101,161,2020-07-27,2020-08-17,atrasado
278,197,186,2020-04-13,,ativo
279,193,206,2021-06-18,,ativo
280,112,276,2021-12-21,2021-12-31,atrasado
281,154,269,2022-05-23,2022-05-26,atrasado
282,173,144,2022-11-24,2022-12-13,atrasado
283,181,104,2020-09-29,,ativo
284,127,160,2020-09-24,2020-10-02,finalizado
285,22,166,2023-12-12,2023-12-14,finalizado
286,158,42,2022-09-26,,ativo
287,97,189,2022-09-11,2022-09-19,atrasado
288,36,211,2022-03-18,2022-03-25,atrasado
289,60,123,2023-07-21,2023-08-08,atrasado
290,159,161,2023-08-20,,ativo
291,191,29,2022-05-28,,ativo
292,24,222,2020-01-29,2020-02-08,atrasado
293,84,91,2021-06-27,2021-07-13,finalizado
294,98,293,2022-06-24,,ativo
295,2,228,2022-10-15,2022-10-17,finalizado
296,93,127,2020-03-06,,ativo
297,196,98,2021-08-18,2021-08-25,finalizado
298,99,151,2021-07-28,2021-08-19,atrasado
299,169,198,2021-09-28,2021-10-06,finalizado
300,56,169,2021-11-14,2021-11-17,atrasado
301,141,85,2022-05-27,2022-06-18,finalizado
302,84,100,2022-09-09,2022-10-08,atrasado
303,20,280,2023-07-20,2023-07-25,finalizado
304,41,23,2020-07-27,2020-08-03,finalizado
305,117,215,2021-08-25,2021-09-10,finalizado
306,100,72,2022-03-07,2022-03-16,atrasado
307,85,205,2021-10-17,,ativo
308,44,179,2021-03-15,2021-04-06,atrasado
309,152,40,2022-01-13,2022-01-30,atrasado
310,105,210,2023-09-17,2023-10-15,finalizado
311,131,269,2020-05-21,2020-06-18,finalizado
312,170,10,2021-08-30,2021-09-23,finalizado
313,111,200,2023-02-20,2023-03-14,atrasado
314,77,154,2021-04-29,2021-05-15,finalizado
315,63,14,2020-02-08,2020-03-08,finalizado
316,84,276,2021-05-11,2021-05-27,atrasado
317,108,75,2021-03-02,,ativo
318,69,276,2020-11-08,2020-12-08,finalizado
319,86,27,2022-10-02,,ativo
320,85,266,2023-07-24,2023-08-17,atrasado
321,78,24,2021-05-18,2021-06-09,finalizado
322,45,48,2023-11-12,2023-12-11,atrasado
323,95,164,2021-05-17,2021-05-25,atrasado
324,62,142,2023-09-15,2023-10-05,finalizado
325,84,255,2022-07-14,2022-08-12,atrasado
326,99,98,2020-09-14,2020-10-01,atrasado
327,90,264,2023-06-11,2023-06-22,atrasado
328,171,251,2020-01-23,2020-02-15,atrasado
329,127,247,2021-05-19,2021-05-28,finalizado
330,97,121,2021-10-17,,ativo
331,35,143,2023-03-31,2023-04-21,atrasado
332,172,145,2022-05-03,2022-05-07,finalizado
333,19,297,2023-03-01,,ativo
334,84,298,2021-06-04,2021-06-25,finalizado
335,88,54,2020-11-21,2020-12-02,atrasado
336,133,61,2020-04-07,,ativo
337,5,182,2022-03-11,2022-03-21,finalizado
338,141,236,2020-09-26,2020-10-10,finalizado
339,164,171,2023-08-21,,ativo
340,192,244,2022-08-10,,ativo
341,180,61,2022-04-14,2022-05-01,finalizado
342,52,202,2020-03-26,,ativo
343,8,216,2020-05-25,2020-06-04,finalizado
344,83,251,2021-03-06,2021-03-31,atrasado
345,174,181,2020-11-17,,ativo
346,55,175,2023-03-19,2023-03-30,finalizado
347,93,89,2022-12-21,2023-01-01,atrasado
348,173,282,2020-11-08,2020-11-26,atrasado
349,156,18,2023-03-21,,ativo
350,136,248,2020-04-09,,ativo
351,16,296,2021-01-30,2021-02-15,atrasado
352,143,36,2023-08-22,2023-08-23,finalizado
353,137,23,2021-05-02,2021-05-17,finalizado
354,81,282,2020-06-03,2020-06-27,atrasado
355,181,300,2020-10-13,,ativo
356,176,162,2021-01-22,2021-02-08,finalizado
357,30,143,2022-11-20,,ativo
358,93,49,2022-07-27,2022-08-08,finalizado
359,149,67,2023-08-03,2023-08-05,finalizado
360,153,161,2021-05-22,2021-06-20,finalizado
361,165,34,2023-01-02,,ativo
362,40,35,2021-02-09,2021-03-02,finalizado
363,11,209,2020-03-13,2020-03-29,atrasado
364,65,164,2023-07-04,2023-07-23,atrasado
365,189,8,2021-02-13,2021-03-01,finalizado
366,81,7,2020-09-06,2020-09-07,finalizado
367,99,182,2020-03-31,,ativo
368,7,181,2022-09-14,2022-10-11,atrasado
369,137,171,2021-04-01,,ativo
370,150,91,2020-11-01,2020-11-29,finalizado
371,198,227,2021-11-20,2021-12-09,finalizado
372,54,289,2022-12-19,2023-01-10,atrasado
373,89,191,2021-08-14,2021-09-07,finalizado
374,154,190,2020-12-26,2020-12-31,finalizado
375,2,295,2021-03-10,2021-03-26,finalizado
376,168,30,2020-05-03,,ativo
377,31,197,2021-11-19,,ativo
378,148,53,2020-07-12,2020-07-25,finalizado
379,52,72,2020-02-09,,ativo
380,196,243,2021-07-30,2021-08-12,atrasado
381,27,243,2022-10-12,,ativo
382,6,50,2022-07-04,2022-07-11,finalizado
383,131,27,2022-06-30,2022-07-17,finalizado
384,159,147,2020-12-05,,ativo
385,157,27,2023-04-06,2023-04-25,finalizado
386,145,5,2021-05-09,,ativo
387,74,80,2021-10-25,2021-11-22,finalizado
388,149,236,2022-12-16,2023-01-14,finalizado
389,200,281,2022-04-28,,ativo
390,143,183,2022-04-05,2022-04-11,atrasado
391,37,290,2022-05-14,,ativo
392,3,298,2022-09-15,2022-10-02,atrasado
393,185,218,2023-10-25,2023-11-10,atrasado
394,169,71,2023-11-04,,ativo
395,30,141,2023-12-21,2024-01-08,finalizado
396,82,83,2021-05-05,2021-05-13,atrasado
397,109,300,2021-08-05,2021-08-06,atrasado
398,52,136,2021-06-13,2021-07-13,atrasado
399,174,28,2022-09-10,2022-09-23,atrasado
400,146,240,2022-11-04,2022-11-26,finalizado
401,76,255,2021-09-11,2021-09-14,atrasado
402,91,58,2022-02-16,,ativo
403,78,149,2020-09-03,2020-09-06,finalizado
404,44,100,2021-04-24,,ativo
405,176,95,2022-10-27,2022-10-29,finalizado
406,162,240,2021-11-30,2021-12-08,finalizado
407,144,126,2022-04-08,2022-04-15,atrasado
408,176,235,2023-12-26,,ativo
409,157,113,2023-01-11,,ativo
410,196,29,2020-09-06,2020-10-05,atrasado
411,192,129,2022-08-28,2022-08-30,atrasado
412,190,263,2020-07-25,2020-08-09,finalizado
413,143,106,2023-07-26,,ativo
414,129,33,2021-01-09,2021-01-28,finalizado
415,122,44,2023-07-23,,ativo
416,148,42,2020-04-25,2020-05-13,atrasado
417,56,60,2021-05-19,2021-05-25,atrasado
418,176,267,2022-12-31,2023-01-21,atrasado
419,64,277,2023-02-01,2023-02-18,finalizado
420,38,283,2023-09-06,2023-10-05,finalizado
421,49,27,2023-12-12,,ativo
422,199,296,2020-03-02,,ativo
423,170,55,2022-12-10,,ativo
424,15,44,2020-08-07,2020-09-01,finalizado
425,95,283,2020-03-05,,ativo
426,75,117,2023-01-03,,ativo
427,36,111,2021-02-04,2021-02-24,atrasado
428,192,3,2020-10-01,,ativo
429,165,46,2022-10-15,,ativo
430,165,213,2021-06-16,,ativo
431,35,126,2021-03-16,2021-03-24,atrasado
432,23,108,2021-09-29,2021-10-04,finalizado
433,138,207,2022-02-21,,ativo
434,138,129,2023-08-13,,ativo
435,80,95,2021-02-15,2021-03-04,finalizado
436,66,158,2021-01-22,,ativo
437,161,210,2021-07-04,2021-07-21,finalizado
438,143,30,2022-05-30,,ativo
439,8,50,2020-11-26,2020-12-03,finalizado
440,189,46,2022-10-01,2022-10-30,finalizado
441,91,171,2023-12-15,2023-12-19,finalizado
442,157,141,2023-11-26,2023-12-09,finalizado
443,143,211,2021-08-15,2021-09-02,finalizado
444,94,161,2022-06-28,2022-07-10,finalizado
445,40,283,2022-09-05,2022-09-10,atrasado
446,50,239,2023-04-05,2023-04-12,atrasado
447,175,33,2022-05-08,,ativo
448,52,20,2023-12-20,2023-12-25,finalizado
449,88,39,2022-02-06,2022-02-15,atrasado
450,143,206,2022-12-09,2023-01-03,atrasado
451,172,129,2020-07-01,,ativo
452,114,300,2023-04-09,,ativo
453,115,6,2023-07-30,2023-08-08,atrasado
454,123,14,2023-12-24,,ativo
455,105,270,2022-12-18,2022-12-24,atrasado
456,42,27,2020-12-13,2020-12-21,atrasado
457,90,119,2020-11-08,2020-11-15,finalizado
458,162,243,2021-05-24,,ativo
459,75,265,2020-09-04,2020-09-07,finalizado
460,122,186,2020-03-14,2020-03-17,finalizado
461,77,119,2020-08-16,,ativo
462,188,96,2020-03-13,2020-03-27,atrasado
463,90,115,2021-02-11,2021-02-19,finalizado
464,58,272,2021-09-07,2021-09-26,finalizado
465,186,207,2020-06-20,,ativo
466,47,83,2023-01-07,,ativo
467,5,62,2022-05-01,,ativo
468,4,56,2022-08-22,,ativo
469,50,24,2021-11-15,,ativo
470,21,189,2020-12-20,,ativo
471,101,256,2021-12-24,2022-01-22,finalizado
472,53,283,2020-04-23,2020-04-26,atrasado
473,69,109,2023-09-04,,ativo
474,21,217,2020-12-02,2021-01-01,finalizado
475,121,178,2023-02-10,2023-03-03,finalizado
476,164,167,2023-03-31,2023-04-10,atrasado
477,112,267,2020-07-07,,ativo
478,167,151,2020-01-29,2020-02-16,atrasado
479,40,231,2020-03-13,2020-03-15,finalizado
480,130,74,2021-07-28,2021-08-26,finalizado
481,111,244,2021-09-09,,ativo
482,112,1,2020-04-09,2020-04-14,finalizado
483,194,18,2022-09-04,2022-09-10,finalizado
484,76,175,2021-09-12,,ativo
485,75,23,2021-08-02,,ativo
486,93,218,2021-05-17,2021-05-23,finalizado
487,7,102,2020-05-07,2020-05-08,atrasado
488,63,237,2021-08-21,2021-09-19,atrasado
489,123,180,2021-11-19,2021-11-30,finalizado
490,159,203,2022-02-01,,ativo
491,26,83,2022-05-07,2022-05-12,atrasado
492,176,278,2020-06-16,,ativo
493,103,122,2023-08-23,,ativo
494,42,273,2021-04-04,2021-04-18,finalizado
495,76,78,2020-11-04,,ativo
496,68,85,2021-07-17,2021-07-27,atrasado
497,178,78,2023-06-17,2023-07-03,atrasado
498,14,63,2022-03-23,,ativo
499,66,118,2021-10-26,2021-11-01,atrasado
500,145,130,2022-09-14,2022-09-24,finalizado
501,146,269,2022-03-14,,ativo
502,95,181,2023-04-07,,ativo
503,77,48,2023-12-15,2024-01-07,finalizado
504,158,4,2023-10-05,,ativo
505,83,91,2023-08-04,2023-08-30,finalizado
506,67,270,2023-04-21,,ativo
507,73,5,2022-07-03,,ativo
508,94,220,2021-09-16,2021-09-22,finalizado
509,126,203,2020-04-08,2020-04-17,finalizado
510,101,157,2021-04-27,2021-05-22,finalizado
511,120,105,2020-04-20,2020-05-17,finalizado
512,34,15,2020-03-02,,ativo
513,184,78,2023-11-07,,ativo
514,55,192,2022-04-06,2022-04-25,atrasado
515,58,198,2020-01-01,2020-01-11,atrasado
516,182,168,2020-12-03,2020-12-30,finalizado
517,145,47,2023-06-27,2023-07-13,atrasado
518,21,46,2020-04-13,2020-05-02,finalizado
519,165,32,2022-10-30,,ativo
520,55,205,2022-07-06,,ativo
521,27,106,2021-03-17,2021-03-29,finalizado
522,191,113,2021-05-21,2021-06-08,atrasado
523,6,220,2020-05-07,,ativo
524,109,61,2023-04-19,2023-05-07,finalizado
525,89,26,2020-06-28,2020-07-27,atrasado
526,77,148,2023-05-07,2023-06-02,finalizado
527,4,221,2021-12-31,,ativo
528,116,136,2021-08-29,2021-09-22,atrasado
529,77,151,2021-11-26,2021-12-22,finalizado
530,93,64,2023-05-02,2023-05-03,atrasado
531,80,205,2021-10-05,2021-10-17,finalizado
532,39,90,2021-09-07,2021-09-25,finalizado
533,39,225,2020-12-06,2020-12-22,finalizado
534,73,94,2021-08-22,2021-09-03,atrasado
535,64,73,2021-02-01,2021-02-21,finalizado
536,146,129,2023-03-02,2023-03-15,atrasado
537,98,196,2020-11-19,,ativo
538,76,261,2023-01-11,2023-01-28,atrasado
539,179,289,2020-01-03,2020-01-17,atrasado
540,58,259,2023-06-28,2023-07-20,atrasado
541,66,29,2020-02-10,2020-03-11,finalizado
542,124,122,2020-12-11,2021-01-08,finalizado
543,63,72,2020-07-15,2020-08-05,atrasado
544,154,280,2020-08-28,2020-09-13,atrasado
545,133,126,2021-03-30,2021-04-21,atrasado
546,199,104,2020-10-08,2020-10-09,atrasado
547,187,107,2020-05-14,2020-05-21,atrasado
548,155,170,2023-07-23,,ativo
549,24,126,2022-11-18,2022-12-14,finalizado
550,175,288,2023-05-31,2023-06-10,atrasado
551,124,156,2020-11-21,2020-12-05,finalizado
552,167,246,2023-08-15,2023-08-16,finalizado
553,61,218,2021-08-04,,ativo
554,7,254,2022-06-04,,ativo
555,123,109,2022-04-20,2022-05-07,finalizado
556,96,60,2021-11-03,,ativo
557,7,92,2023-05-15,,ativo
558,59,282,2020-11-19,,ativo
559,91,161,2022-07-10,2022-07-30,atrasado
560,71,73,2020-09-09,2020-10-05,finalizado
561,22,23,2023-02-25,2023-03-15,finalizado
562,33,202,2023-09-10,2023-10-04,finalizado
563,176,137,2023-05-18,2023-06-04,finalizado
564,23,214,2023-07-15,2023-08-03,atrasado
565,158,262,2022-07-08,,ativo
566,53,101,2021-11-28,2021-12-07,atrasado
567,108,133,2022-02-06,,ativo
568,135,115,2021-05-05,,ativo
569,48,214,2020-04-02,2020-04-12,finalizado
570,169,62,2023-04-27,2023-05-22,finalizado
571,122,128,2021-02-16,,ativo
572,36,284,2023-11-15,,ativo
573,23,8,2023-05-05,2023-05-25,atrasado
574,40,255,2022-03-28,,ativo
575,152,272,2022-06-07,,ativo
576,179,9,2022-11-29,2022-12-12,atrasado
577,78,279,2021-12-06,,ativo
578,4,59,2021-11-05,2021-11-06,finalizado
579,183,6,2020-03-28,2020-04-02,atrasado
580,19,167,2023-04-06,,ativo
581,52,281,2020-12-25,2021-01-22,atrasado
582,3,81,2022-02-16,,ativo
583,50,55,2023-11-02,2023-11-30,atrasado
584,200,173,2020-02-13,2020-02-24,finalizado
585,195,212,2022-08-04,2022-09-02,atrasado
586,9,212,2022-07-02,2022-07-03,atrasado
587,8,235,2022-07-13,2022-07-15,atrasado
588,173,266,2022-12-21,,ativo
589,83,104,2022-06-22,2022-06-23,finalizado
590,7,140,2023-09-18,2023-09-21,finalizado
591,173,21,2023-04-02,2023-04-11,finalizado
592,92,106,2021-05-12,2021-06-04,atrasado
593,36,224,2022-04-03,,ativo
594,10,212,2021-08-11,2021-08-29,finalizado
595,123,221,2022-03-21,2022-04-03,atrasado
596,98,223,2023-06-26,2023-07-03,atrasado
597,159,17,2023-09-27,2023-09-29,atrasado
598,109,272,2022-08-15,2022-08-30,finalizado
599,115,233,2020-07-19,2020-08-10,finalizado
600,103,131,2022-11-13,,ativo
601,69,251,2022-07-03,2022-07-31,finalizado
602,197,299,2023-11-26,2023-12-23,atrasado
603,147,187,2020-08-24,2020-09-03,finalizado
604,187,11,2020-01-01,,ativo
605,52,83,2022-05-05,,ativo
606,199,299,2020-01-13,2020-01-22,atrasado
607,52,64,2021-01-05,2021-01-10,finalizado
608,91,143,2020-04-16,,ativo
609,4,46,2022-11-30,2022-12-18,finalizado
610,28,232,2021-04-24,,ativo
611,142,248,2020-09-07,,ativo
612,88,125,2023-10-07,2023-10-24,atrasado
